Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
062024-BEL-CBC-T1-1347-OANN_S65_R2_16S	(1.0, 2.6184241847179246)	(2.0, 0.7572601761485361)	(3.0, 0.4842597000714116)	(4.0, 0.4344203761009284)	(5.0, 0.34961913830040464)	(6.0, 0.3659842894548917)	(7.0, 0.3853249226374673)	(8.0, 0.31540109497738633)	(9.0, 0.421774577481552)	('>10', 12.65695667698167)	('>50', 6.004522732682695)	('>100', 17.908682456557962)	('>500', 7.657402999285884)	('>1k', 10.647018567007855)	('>5k', 20.324773863365866)	('>10k+', 18.668174244227565)
062024-BEL-CBC-T1-1353-MCAV_S86_R2_16S	(1.0, 1.8203362202209405)	(2.0, 0.3581380492765648)	(3.0, 0.21670013694053547)	(4.0, 0.1347377386822135)	(5.0, 0.1101398408846432)	(6.0, 0.07764858782367345)	(7.0, 0.08994753672245862)	(8.0, 0.07048949816617164)	(9.0, 0.07351834379049933)	('>10', 2.8808911047393173)	('>50', 2.883828167162908)	('>100', 6.61242891391103)	('>500', 3.5800037447545905)	('>1k', 7.981650702508618)	('>5k', 4.114365539446585)	('>10k+', 68.99517587496925)
062024-BEL-CBC-T2-1375-SSID_S33_R2_16S	(1.0, 1.3745352712361614)	(2.0, 0.29083393087900433)	(3.0, 0.1891595158552571)	(4.0, 0.1447560512057821)	(5.0, 0.11744417737179236)	(6.0, 0.09569059450971615)	(7.0, 0.08649448312950109)	(8.0, 0.07500819163075095)	(9.0, 0.07011393607096612)	('>10', 1.8364821637276776)	('>50', 1.4643965526599412)	('>100', 4.439401387528172)	('>500', 2.6410543150778913)	('>1k', 9.248537344567467)	('>5k', 4.828412908126782)	('>10k+', 73.09767917642314)
062024-BEL-CBC-T2-1396-MCAV_S49_R2_16S	(1.0, 1.554749276576509)	(2.0, 0.5235380217043346)	(3.0, 0.4084639733471553)	(4.0, 0.3651074622097477)	(5.0, 0.34609144855299007)	(6.0, 0.3116452981004632)	(7.0, 0.2951285319528794)	(8.0, 0.27035338273150367)	(9.0, 0.2562272011579122)	('>10', 5.4731347192204085)	('>50', 3.126341308106146)	('>100', 7.911096332951926)	('>500', 3.661397600939717)	('>1k', 11.435469972627807)	('>5k', 6.515320930545912)	('>10k+', 57.54593453927459)
062024-BEL-CBC-T3-1415-MCAV_S50_R2_16S	(1.0, 1.2058131600655866)	(2.0, 0.34117179782261103)	(3.0, 0.2566426658247701)	(4.0, 0.1894267295373303)	(5.0, 0.21641494638001446)	(6.0, 0.17415038038109398)	(7.0, 0.09980548115407725)	(8.0, 0.11406340703323116)	(9.0, 0.12373842816551416)	('>10', 3.223309671965863)	('>50', 0.7857135582690877)	('>100', 2.6687781975944844)	('>500', 0.0)	('>1k', 5.608966198531434)	('>5k', 8.516564654601746)	('>10k+', 76.47544072267316)
062024-BEL-CBC-T3-1433-PSTR_S2_R2_16S	(1.0, 2.2078547144534473)	(2.0, 0.7970594637016055)	(3.0, 0.5714303232076126)	(4.0, 0.40506970693758515)	(5.0, 0.3438596276097311)	(6.0, 0.2519934150625845)	(7.0, 0.22317664983644953)	(8.0, 0.1798493148865161)	(9.0, 0.17749901133970367)	('>10', 2.2878672221558007)	('>50', 0.8962831482213822)	('>100', 1.6860873270610885)	('>500', 1.7069334976502073)	('>1k', 18.22180121132601)	('>5k', 21.836874627655714)	('>10k+', 48.20636073889456)
062024-BEL-CBC-T3-1439-OFAV_S41_R2_16S	(1.0, 2.2282940394245965)	(2.0, 1.0128976714670848)	(3.0, 0.7978691155131785)	(4.0, 0.7113726663136749)	(5.0, 0.6568071492952965)	(6.0, 0.5820321815293704)	(7.0, 0.4696676353730059)	(8.0, 0.45592520886467347)	(9.0, 0.4110602282051178)	('>10', 6.674777392900015)	('>50', 1.2493482452133915)	('>100', 4.3393732645134175)	('>500', 4.241155333880336)	('>1k', 5.698660921793468)	('>5k', 0.0)	('>10k+', 70.47075894571337)
062024-BEL-CBC-T3-1442-OFAV_S35_R2_16S	(1.0, 1.261338407865525)	(2.0, 0.3469711385981605)	(3.0, 0.23596574690770694)	(4.0, 0.21883920076117983)	(5.0, 0.15540754836663495)	(6.0, 0.12654614652711704)	(7.0, 0.09768474468759912)	(8.0, 0.07865524896923565)	(9.0, 0.07278782112274025)	('>10', 1.4660640659689184)	('>50', 0.7724389470345703)	('>100', 1.3988265144307008)	('>500', 1.38534728829686)	('>1k', 3.6175071360608944)	('>5k', 3.480653346019664)	('>10k+', 85.28496669838249)
082024-BEL-CBC-T1-1479-PAST_S47_R2_16S	(1.0, 1.8872538617159096)	(2.0, 0.7328317094219199)	(3.0, 0.5954005008154926)	(4.0, 0.5101123095920921)	(5.0, 0.48808289527135595)	(6.0, 0.42441990893161385)	(7.0, 0.4201757098422977)	(8.0, 0.40097576158110565)	(9.0, 0.38743474543900175)	('>10', 6.089213064857425)	('>50', 2.3781662230468092)	('>100', 5.103346247824848)	('>500', 2.505896405163371)	('>1k', 5.654081605843252)	('>5k', 1.8205593045980843)	('>10k+', 70.60204974605541)
082024-BEL-CBC-T1-1482-OANN_S36_R2_16S	(1.0, 4.243484289811226)	(2.0, 1.0005987835239987)	(3.0, 0.6807223220194762)	(4.0, 0.5987835239986133)	(5.0, 0.6145409851564716)	(6.0, 0.6003592701143992)	(7.0, 0.5073902492830356)	(8.0, 0.5672686016828968)	(9.0, 0.5105417415146072)	('>10', 9.895685607134979)	('>50', 3.605307112917967)	('>100', 8.339636317796478)	('>500', 4.6200876114840375)	('>1k', 17.028300400239512)	('>5k', 7.499763638082632)	('>10k+', 39.68752954523967)
082024-BEL-CBC-T2-1510-PAST_S94_R2_16S	(1.0, 2.1905686845796914)	(2.0, 0.6494899675635875)	(3.0, 0.4825471787938225)	(4.0, 0.3783190194174141)	(5.0, 0.31420791042218116)	(6.0, 0.2856435549292556)	(7.0, 0.27371000196776674)	(8.0, 0.2437491668729648)	(9.0, 0.25936434787576407)	('>10', 4.8673661759945155)	('>50', 3.2466881216714594)	('>100', 9.476764483715144)	('>500', 4.627552542545021)	('>1k', 10.385745751845574)	('>5k', 4.71972019626886)	('>10k+', 57.59856289553697)
082024-BEL-CBC-T3-1554-OANN_S14_R2_16S	(1.0, 2.3465698145400835)	(2.0, 0.5183281389351788)	(3.0, 0.35243731489241303)	(4.0, 0.2964948839571094)	(5.0, 0.24905139926005376)	(6.0, 0.20591117848109847)	(7.0, 0.18902086760255485)	(8.0, 0.2160238486886341)	(9.0, 0.19655157945923035)	('>10', 5.96819672801328)	('>50', 3.566545135321513)	('>100', 7.988901882355219)	('>500', 3.7426562111697668)	('>1k', 10.414866916184252)	('>5k', 3.8721844551045854)	('>10k+', 59.876259646035024)
