Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
082024-BEL-CBC-T1-1482-OANN_S36_R2_16S	082024-BEL-CBC-T1-1482-OANN_S36_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	126924.0	29.7 Mbp	0.0	166-251	49.0	6.156440074375217	233.78141249881818	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T2-1510-PAST_S94_R2_16S	082024-BEL-CBC-T2-1510-PAST_S94_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	787695.0	179.8 Mbp	0.0	195-251	49.0	3.316639054456357	228.74919289826647	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T3-1554-OANN_S14_R2_16S	082024-BEL-CBC-T3-1554-OANN_S14_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	929527.0	215.3 Mbp	0.0	214-251	49.0	3.328036732660805	231.6655159021739	231	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T3-1558-MCAV_S34_R2_16S	082024-BEL-CBC-T3-1558-MCAV_S34_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	333203.0	77.3 Mbp	0.0	191-251	43.0	3.516174824356323	231.6149959634217	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T3-1560-PSTR_S54_R2_16S	082024-BEL-CBC-T3-1560-PSTR_S54_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	413382.0	95.9 Mbp	0.0	213-251	51.0	2.5758257495488435	232.16125278797819	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T3-1561-MCAV_S38_R2_16S	082024-BEL-CBC-T3-1561-MCAV_S38_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	422838.0	98.3 Mbp	0.0	212-251	45.0	3.7867930507664878	232.5667466027178	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T3-1562-OFAV_S31_R2_16S	082024-BEL-CBC-T3-1562-OFAV_S31_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6483869.0	1.4 Gbp	0.0	197-251	48.0	1.2490381900066148	231.16235113633542	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T4-1606-PSTR_S25_R2_16S	082024-BEL-CBC-T4-1606-PSTR_S25_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	319747.0	74.4 Mbp	0.0	212-251	43.0	2.411594166637998	232.75255749076615	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T4-1607-PSTR_S90_R2_16S	082024-BEL-CBC-T4-1607-PSTR_S90_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66989.0	15.3 Mbp	0.0	196-251	46.0	7.486303721506515	230.20756392840616	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T4-1609-OFAV_S12_R2_16S	082024-BEL-CBC-T4-1609-OFAV_S12_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	984136.0	227.5 Mbp	0.0	207-251	49.0	1.5733597795426646	231.23017652031834	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T1-171-PAST_S42_R2_16S	092023-BEL-CBC-T1-171-PAST_S42_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	495208.0	113.6 Mbp	0.0	215-251	48.0	3.7975961616128977	229.5104521736321	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	warn
092023-BEL-CBC-T1-175-PAST_S7_R2_16S	092023-BEL-CBC-T1-175-PAST_S7_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	463896.0	106.1 Mbp	0.0	208-251	47.0	4.917481504475141	228.78758385500197	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	warn
092023-BEL-CBC-T2-174-SSID_S46_R2_16S	092023-BEL-CBC-T2-174-SSID_S46_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	534786.0	122.7 Mbp	0.0	207-251	51.0	3.4941079235432495	229.56752233603723	229	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
092023-BEL-CBC-T2-181-PAST_S63_R2_16S	092023-BEL-CBC-T2-181-PAST_S63_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	865900.0	200.8 Mbp	0.0	202-251	51.0	3.692343226700543	231.44663356045731	230	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	fail
