Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
062019_BEL_CBC_T1_3_MCAV_S23_R2_16S	(1.0, 2.3952859819205243)	(2.0, 1.0351786363626698)	(3.0, 0.6456044248145163)	(4.0, 0.3317334989165499)	(5.0, 0.19032146251943088)	(6.0, 0.1250380111300842)	(7.0, 0.0774044830805283)	(8.0, 0.04933472547989716)	(9.0, 0.028707706637009122)	('>10', 0.8384776834794592)	('>50', 0.4801629747138267)	('>100', 1.2074248761847246)	('>500', 1.1729756282203134)	('>1k', 2.4914036367348067)	('>5k', 4.9592031591236285)	('>10k+', 83.97174311068203)
062019_BEL_CBC_T1_6_MCAV_S9_R2_16S	(1.0, 1.3864431556536405)	(2.0, 0.42085292623747217)	(3.0, 0.1980380254246137)	(4.0, 0.10075929324552879)	(5.0, 0.060467374459406927)	(6.0, 0.04176673279732693)	(7.0, 0.028080458773344093)	(8.0, 0.026428667080794443)	(9.0, 0.02389198698152176)	('>10', 0.35944167081089407)	('>50', 0.2326666584077082)	('>100', 1.1211536113180767)	('>500', 0.20204951953509145)	('>1k', 2.209212396224712)	('>5k', 0.8873660942618526)	('>10k+', 92.70138142878801)
062019_BEL_CBC_T1_8_PAST_S29_R2_16S	(1.0, 4.169665921916533)	(2.0, 2.366373440776784)	(3.0, 1.7481373456357332)	(4.0, 1.2813441649294357)	(5.0, 0.9363908598280531)	(6.0, 0.6057716577390133)	(7.0, 0.41226126707238414)	(8.0, 0.38141178450234176)	(9.0, 0.20753288274392126)	('>10', 1.4218806966374065)	('>50', 0.9395069691785625)	('>100', 1.8282213559438227)	('>500', 0.7833898907180451)	('>1k', 4.695665180282506)	('>5k', 2.8359711198985393)	('>10k+', 75.38647546219693)
062019_BEL_CBC_T1_9_MCAV_S76_R2_16S	(1.0, 1.1358052742945597)	(2.0, 0.4067199681894997)	(3.0, 0.28075606742689974)	(4.0, 0.18120624281068493)	(5.0, 0.13278043654231222)	(6.0, 0.11417697431018078)	(7.0, 0.11233082920317537)	(8.0, 0.08861496513625972)	(9.0, 0.0907451325674198)	('>10', 1.4385730718434468)	('>50', 0.5281395117656248)	('>100', 0.9369896473862845)	('>500', 0.5605180567192581)	('>1k', 2.2892199326867093)	('>5k', 1.9131743755059147)	('>10k+', 89.79024951361177)
062019_BEL_CBC_T2_22_PAST_S60_R2_16S	(1.0, 1.552962617916724)	(2.0, 0.38537705352006557)	(3.0, 0.19676120367966363)	(4.0, 0.14424064090359126)	(5.0, 0.10775624349856523)	(6.0, 0.07330818455335462)	(7.0, 0.060581069179508326)	(8.0, 0.05430235892841083)	(9.0, 0.045053988423415854)	('>10', 0.8426198851844499)	('>50', 1.0575384401308008)	('>100', 2.4850117004614005)	('>500', 1.3461894168096347)	('>1k', 4.72337190497766)	('>5k', 3.262129365188455)	('>10k+', 83.66279592664429)
062019_BEL_CBC_T2_5_MCAV_S20_R2_16S	(1.0, 3.425351471341567)	(2.0, 1.621795966380177)	(3.0, 0.8492230633502191)	(4.0, 0.4826683362741192)	(5.0, 0.24664655548598857)	(6.0, 0.11839034663327452)	(7.0, 0.11156013432750869)	(8.0, 0.06981994801449523)	(9.0, 0.09562297228072172)	('>10', 1.0336387956058968)	('>50', 0.6997173051017891)	('>100', 1.6540497467129605)	('>500', 0.7019940425370444)	('>1k', 7.054470943138483)	('>5k', 3.4966892443128996)	('>10k+', 78.33836112850285)
062019_BEL_CBC_T3_11_MCAV_S13_R2_16S	(1.0, 3.096349641283209)	(2.0, 1.3874740563596646)	(3.0, 0.7999629571119622)	(4.0, 0.4357986827984812)	(5.0, 0.26965043498156027)	(6.0, 0.1732299764123963)	(7.0, 0.10295743881114118)	(8.0, 0.06319080900577978)	(9.0, 0.06373555735927788)	('>10', 1.0584460508468114)	('>50', 0.5300401479536528)	('>100', 0.7174335815569998)	('>500', 0.794243099400232)	('>1k', 2.2658807763753535)	('>5k', 3.433276497921785)	('>10k+', 84.80833029182169)
062019_BEL_CBC_T3_14_MCAV_S33_R2_16S	(1.0, 1.4565975812315308)	(2.0, 0.4058407988739986)	(3.0, 0.2029203994369993)	(4.0, 0.13501344130850973)	(5.0, 0.09805818118750459)	(6.0, 0.08004749484694251)	(7.0, 0.06443823335178872)	(8.0, 0.043759297182995247)	(9.0, 0.039623509949236545)	('>10', 0.696680030151223)	('>50', 0.49749518047374774)	('>100', 1.010999859916884)	('>500', 0.6263716471773252)	('>1k', 3.6112093175284)	('>5k', 1.2686193808326274)	('>10k+', 89.7623256465503)
062024_BEL_CBC_T1_1356_PAST_S37_R2_16S	(1.0, 1.8856567723200288)	(2.0, 0.49248436649231936)	(3.0, 0.3120431633309684)	(4.0, 0.2684838385005032)	(5.0, 0.21944659857772203)	(6.0, 0.2082927714620423)	(7.0, 0.1958849637830614)	(8.0, 0.15892553665418185)	(9.0, 0.14018182718167868)	('>10', 3.128879502367713)	('>50', 1.9266421370468758)	('>100', 6.205223819030805)	('>500', 3.5960202616859442)	('>1k', 6.27313676638012)	('>5k', 3.3756496774299998)	('>10k+', 71.61304799775603)
062024_BEL_CBC_T2_1372_OFAV_S67_R2_16S	(1.0, 1.3376053056103243)	(2.0, 0.36692217664983184)	(3.0, 0.28784412133736803)	(4.0, 0.2193098067332328)	(5.0, 0.17858460824731398)	(6.0, 0.16369157449679997)	(7.0, 0.13746401948483283)	(8.0, 0.10649178115411785)	(9.0, 0.10319686218276519)	('>10', 1.501824067142541)	('>50', 0.9074206847105215)	('>100', 1.8858798224434064)	('>500', 1.2753972354311864)	('>1k', 4.089785224001771)	('>5k', 4.527086869879696)	('>10k+', 82.91149584049428)
