Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
052022-BEL-CBC-T3-13-MCAV_S5_R1_16S	(16.0, 10.0)	(17.0, 34.0)	(18.0, 69.0)	(19.0, 96.0)	(20.0, 119.0)	(21.0, 137.0)	(22.0, 129.0)	(23.0, 156.0)	(24.0, 192.0)	(25.0, 244.0)	(26.0, 270.0)	(27.0, 319.0)	(28.0, 518.0)	(29.0, 722.0)	(30.0, 636.0)	(31.0, 813.0)	(32.0, 831.0)	(33.0, 935.0)	(34.0, 1345.0)	(35.0, 3534.0)	(36.0, 5405.0)	(37.0, 3825.0)	(38.0, 8679.0)	(39.0, 194713.0)	(40.0, 37718.0)													
052022-BEL-CBC-T3-19-MCAV_S6_R1_16S	(16.0, 5.0)	(17.0, 15.0)	(18.0, 26.0)	(19.0, 46.0)	(20.0, 39.0)	(21.0, 43.0)	(22.0, 56.0)	(23.0, 78.0)	(24.0, 116.0)	(25.0, 98.0)	(26.0, 124.0)	(27.0, 119.0)	(28.0, 201.0)	(29.0, 282.0)	(30.0, 269.0)	(31.0, 367.0)	(32.0, 363.0)	(33.0, 495.0)	(34.0, 796.0)	(35.0, 3606.0)	(36.0, 5914.0)	(37.0, 1817.0)	(38.0, 3179.0)	(39.0, 75436.0)	(40.0, 12017.0)													
052022-BEL-CBC-T3-66-OFAV_S40_R1_16S	(16.0, 4.0)	(17.0, 23.0)	(18.0, 110.0)	(19.0, 153.0)	(20.0, 126.0)	(21.0, 135.0)	(22.0, 131.0)	(23.0, 135.0)	(24.0, 163.0)	(25.0, 174.0)	(26.0, 184.0)	(27.0, 227.0)	(28.0, 337.0)	(29.0, 443.0)	(30.0, 394.0)	(31.0, 456.0)	(32.0, 534.0)	(33.0, 723.0)	(34.0, 1028.0)	(35.0, 2434.0)	(36.0, 13599.0)	(37.0, 3520.0)	(38.0, 3884.0)	(39.0, 73164.0)	(40.0, 7346.0)													
052022-BEL-CBC-T3-8-PAST_S17_R1_16S	(15.0, 2.0)	(16.0, 1.0)	(17.0, 29.0)	(18.0, 73.0)	(19.0, 113.0)	(20.0, 88.0)	(21.0, 102.0)	(22.0, 118.0)	(23.0, 125.0)	(24.0, 172.0)	(25.0, 163.0)	(26.0, 177.0)	(27.0, 239.0)	(28.0, 274.0)	(29.0, 329.0)	(30.0, 388.0)	(31.0, 399.0)	(32.0, 519.0)	(33.0, 693.0)	(34.0, 1172.0)	(35.0, 6383.0)	(36.0, 10233.0)	(37.0, 3154.0)	(38.0, 7355.0)	(39.0, 79117.0)	(40.0, 13358.0)												
062019-BEL-CBC-T1-21-PAST_S16_R1_16S	(17.0, 10.0)	(18.0, 23.0)	(19.0, 38.0)	(20.0, 55.0)	(21.0, 40.0)	(22.0, 49.0)	(23.0, 57.0)	(24.0, 65.0)	(25.0, 72.0)	(26.0, 74.0)	(27.0, 78.0)	(28.0, 105.0)	(29.0, 151.0)	(30.0, 135.0)	(31.0, 150.0)	(32.0, 237.0)	(33.0, 319.0)	(34.0, 600.0)	(35.0, 2598.0)	(36.0, 10190.0)	(37.0, 2908.0)	(38.0, 1467.0)	(39.0, 20531.0)	(40.0, 7084.0)														
062019-BEL-CBC-T1-22-MCAV_S18_R1_16S	(16.0, 7.0)	(17.0, 52.0)	(18.0, 82.0)	(19.0, 110.0)	(20.0, 113.0)	(21.0, 104.0)	(22.0, 137.0)	(23.0, 159.0)	(24.0, 209.0)	(25.0, 239.0)	(26.0, 254.0)	(27.0, 299.0)	(28.0, 506.0)	(29.0, 590.0)	(30.0, 603.0)	(31.0, 716.0)	(32.0, 772.0)	(33.0, 908.0)	(34.0, 1214.0)	(35.0, 3681.0)	(36.0, 5541.0)	(37.0, 3139.0)	(38.0, 7006.0)	(39.0, 193769.0)	(40.0, 35909.0)													
062019-BEL-CBC-T2-18-MCAV_S79_R1_16S	(16.0, 6.0)	(17.0, 17.0)	(18.0, 39.0)	(19.0, 65.0)	(20.0, 66.0)	(21.0, 58.0)	(22.0, 68.0)	(23.0, 74.0)	(24.0, 109.0)	(25.0, 112.0)	(26.0, 121.0)	(27.0, 135.0)	(28.0, 194.0)	(29.0, 252.0)	(30.0, 229.0)	(31.0, 316.0)	(32.0, 374.0)	(33.0, 423.0)	(34.0, 738.0)	(35.0, 2893.0)	(36.0, 9897.0)	(37.0, 2374.0)	(38.0, 2418.0)	(39.0, 50610.0)	(40.0, 7432.0)													
062019-BEL-CBC-T3-1-MCAV_S48_R1_16S	(16.0, 2.0)	(17.0, 5.0)	(18.0, 23.0)	(19.0, 62.0)	(20.0, 54.0)	(21.0, 72.0)	(22.0, 63.0)	(23.0, 87.0)	(24.0, 88.0)	(25.0, 103.0)	(26.0, 119.0)	(27.0, 134.0)	(28.0, 221.0)	(29.0, 243.0)	(30.0, 255.0)	(31.0, 361.0)	(32.0, 381.0)	(33.0, 540.0)	(34.0, 945.0)	(35.0, 4831.0)	(36.0, 15112.0)	(37.0, 1122.0)	(38.0, 2249.0)	(39.0, 61316.0)	(40.0, 938.0)													
062024-BEL-CBC-T1-1347-OANN_S65_R1_16S	(16.0, 8.0)	(17.0, 36.0)	(18.0, 52.0)	(19.0, 62.0)	(20.0, 76.0)	(21.0, 98.0)	(22.0, 94.0)	(23.0, 100.0)	(24.0, 158.0)	(25.0, 172.0)	(26.0, 162.0)	(27.0, 218.0)	(28.0, 305.0)	(29.0, 343.0)	(30.0, 416.0)	(31.0, 479.0)	(32.0, 634.0)	(33.0, 820.0)	(34.0, 1321.0)	(35.0, 3362.0)	(36.0, 7190.0)	(37.0, 3800.0)	(38.0, 7777.0)	(39.0, 95345.0)	(40.0, 11404.0)													
062024-BEL-CBC-T1-1353-MCAV_S86_R1_16S	(15.0, 2.0)	(16.0, 32.0)	(17.0, 214.0)	(18.0, 369.0)	(19.0, 381.0)	(20.0, 418.0)	(21.0, 498.0)	(22.0, 556.0)	(23.0, 690.0)	(24.0, 983.0)	(25.0, 1099.0)	(26.0, 1161.0)	(27.0, 1166.0)	(28.0, 1844.0)	(29.0, 2265.0)	(30.0, 2183.0)	(31.0, 2615.0)	(32.0, 3003.0)	(33.0, 3472.0)	(34.0, 4382.0)	(35.0, 6701.0)	(36.0, 9653.0)	(37.0, 13879.0)	(38.0, 35261.0)	(39.0, 763522.0)	(40.0, 233175.0)												
