Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
092023-BEL-CBC-T4-93-PSTR_S6_R1_16S	092023-BEL-CBC-T4-93-PSTR_S6_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31047.0	7.7 Mbp	0.0	251.0	53.0	18.951911617869683	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
102019-BEL-CBC-T3-35-PSTR_S21_R1_16S	102019-BEL-CBC-T3-35-PSTR_S21_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1206255.0	302.7 Mbp	0.0	251.0	37.0	0.7316860862752901	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
112023-BEL-CBC-T1-273-PAST_S29_R1_16S	112023-BEL-CBC-T1-273-PAST_S29_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	985997.0	247.4 Mbp	0.0	251.0	44.0	1.2230260335477694	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
112023-BEL-CBC-T1-277-OFAV-OANN_S23_R1_16S	112023-BEL-CBC-T1-277-OFAV-OANN_S23_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	280088.0	70.3 Mbp	0.0	251.0	38.0	1.8247836394276085	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
112023-BEL-CBC-T1-278-PSTR_S14_R1_16S	112023-BEL-CBC-T1-278-PSTR_S14_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	176916.0	44.4 Mbp	0.0	251.0	39.0	2.853896764566235	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
112023-BEL-CBC-T2-311-MCAV_S79_R1_16S	112023-BEL-CBC-T2-311-MCAV_S79_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	313903.0	78.7 Mbp	0.0	251.0	36.0	4.240800502065925	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
112023-BEL-CBC-T2-312-OFAV_S74_R1_16S	112023-BEL-CBC-T2-312-OFAV_S74_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	658946.0	165.3 Mbp	0.0	251.0	42.0	4.760632889493221	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
112023-BEL-CBC-T3-348-SSID_S85_R1_16S	112023-BEL-CBC-T3-348-SSID_S85_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1261169.0	316.5 Mbp	0.0	251.0	45.0	9.071117241314516	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
112023-BEL-CBC-T3-350-OFAV_S93_R1_16S	112023-BEL-CBC-T3-350-OFAV_S93_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1383075.0	347.1 Mbp	0.0	251.0	36.0	3.3911393091480937	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
112023-BEL-CBC-T3-356-MCAV_S49_R1_16S	112023-BEL-CBC-T3-356-MCAV_S49_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	882619.0	221.5 Mbp	0.0	251.0	37.0	3.022595253444578	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
