Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
092023-BEL-CBC-T3-90-SSID_S67_R2_16S	092023-BEL-CBC-T3-90-SSID_S67_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	913768.0	211.3 Mbp	0.0	195-251	53.0	4.395864158079513	231.69894765410913	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
102019-BEL-CBC-T2-35-PSTR_S46_R2_16S	102019-BEL-CBC-T2-35-PSTR_S46_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	786449.0	180.9 Mbp	0.0	204-251	37.0	2.04425207483257	230.06692995985753	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T2-309-PAST_S3_R2_16S	112023-BEL-CBC-T2-309-PAST_S3_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	363909.0	84.2 Mbp	0.0	219-251	44.0	3.1386967621026134	231.60399715313443	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T3-349-PAST_S73_R2_16S	112023-BEL-CBC-T3-349-PAST_S73_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	490786.0	113.3 Mbp	0.0	205-251	46.0	2.8501220491212056	230.90826551694627	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T3-351-OFAV_S61_R2_16S	112023-BEL-CBC-T3-351-OFAV_S61_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	966152.0	221.7 Mbp	0.0	203-251	36.0	1.8784828888208067	229.52566573375617	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T1-122-PSTR_S45_R2_16S	122022-BEL-CBC-T1-122-PSTR_S45_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	677458.0	156.1 Mbp	0.0	195-251	42.0	3.677275934449073	230.07453893820724	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T1-132-PSTR_S11_R2_16S	122022-BEL-CBC-T1-132-PSTR_S11_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	388813.0	90.3 Mbp	0.0	211-251	39.0	2.0932942056978545	232.25195145224055	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T1-133-PSTR_S32_R2_16S	122022-BEL-CBC-T1-133-PSTR_S32_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	778836.0	179.5 Mbp	0.0	207-251	43.0	4.117683312019476	230.59325968496577	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T1-134-PAST_S6_R2_16S	122022-BEL-CBC-T1-134-PAST_S6_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	727290.0	169.9 Mbp	0.0	205-251	49.0	2.2568713993042664	233.71467090156608	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T1-144-MCAV_S84_R2_16S	122022-BEL-CBC-T1-144-MCAV_S84_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	705881.0	163.3 Mbp	0.0	201-251	39.0	2.41995463824639	231.9050810264053	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T1-152-PAST_S15_R2_16S	122022-BEL-CBC-T1-152-PAST_S15_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	466348.0	108.8 Mbp	0.0	198-251	52.0	5.966145453609751	232.90845891909046	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T1-155-PAST_S28_R2_16S	122022-BEL-CBC-T1-155-PAST_S28_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	498598.0	116.5 Mbp	0.0	206-251	51.0	5.370057641627122	233.67330394425971	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T2-118-OANN_S24_R2_16S	122022-BEL-CBC-T2-118-OANN_S24_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	881600.0	206.7 Mbp	0.0	206-251	43.0	1.6086660617059891	234.54745689655172	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T2-85-MCAV_S47_R2_16S	122022-BEL-CBC-T2-85-MCAV_S47_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104544.0	25.3 Mbp	0.0	201-251	65.0	9.708830731558004	242.19375573921027	250	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T2-86-MCAV_S8_R2_16S	122022-BEL-CBC-T2-86-MCAV_S8_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	270652.0	65.9 Mbp	0.0	228-251	67.0	2.910379380163457	243.50324401814876	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T2-96-SSID_S49_R2_16S	122022-BEL-CBC-T2-96-SSID_S49_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	440065.0	102 Mbp	0.0	203-251	47.0	4.529785372615409	231.87652278640655	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T3-115-PAST_S90_R2_16S	122022-BEL-CBC-T3-115-PAST_S90_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	522423.0	121.5 Mbp	0.0	204-251	47.0	2.1974530217850283	232.66608859104596	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T3-119-MCAV_S74_R2_16S	122022-BEL-CBC-T3-119-MCAV_S74_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	271379.0	63.6 Mbp	0.0	219-251	45.0	2.315580792913232	234.5022496213782	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T3-120-SSID_S85_R2_16S	122022-BEL-CBC-T3-120-SSID_S85_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	697423.0	162 Mbp	0.0	206-251	49.0	4.446225604833795	232.3282197461225	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T3-122-PAST_S51_R2_16S	122022-BEL-CBC-T3-122-PAST_S51_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	503265.0	116.2 Mbp	0.0	215-251	48.0	4.469613424339066	231.06740583986567	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
