Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
052022-BEL-CBC-T3-55-PAST_S88_R2_16S	(1.0, 1.8381411894409747)	(2.0, 0.32847349804182624)	(3.0, 0.22198169109688307)	(4.0, 0.14746363422728795)	(5.0, 0.10963676596874784)	(6.0, 0.0891071723411337)	(7.0, 0.06665565931008335)	(8.0, 0.0545126230792818)	(9.0, 0.07705149608321561)	('>10', 1.3002658363974844)	('>50', 0.9253168327816551)	('>100', 2.3526914297245805)	('>500', 1.5828753486754918)	('>1k', 11.57248824789965)	('>5k', 1.9109120468529008)	('>10k+', 77.4224265280788)
062019-BEL-CBC-T1-16-MCAV_S78_R2_16S	(1.0, 1.457482252386951)	(2.0, 0.31248580947783927)	(3.0, 0.1902160659415695)	(4.0, 0.11032868192543734)	(5.0, 0.08745566250187105)	(6.0, 0.0746736810592899)	(7.0, 0.06239625151575799)	(8.0, 0.06054622788591072)	(9.0, 0.04086870382298974)	('>10', 1.3039302911096273)	('>50', 0.8042557270845142)	('>100', 2.5822966193340924)	('>500', 3.0183976440789992)	('>1k', 8.818053539683849)	('>5k', 2.1401409718005944)	('>10k+', 78.93647187039072)
062019-BEL-CBC-T1-17-MCAV_S65_R2_16S	(1.0, 1.2493398282110693)	(2.0, 0.2950544508437027)	(3.0, 0.1787638573351515)	(4.0, 0.1349823933281565)	(5.0, 0.11854866328541627)	(6.0, 0.07000016308281722)	(7.0, 0.062347815505663366)	(8.0, 0.05218650150977055)	(9.0, 0.04290332576043636)	('>10', 1.5407562777476005)	('>50', 2.092101648265489)	('>100', 4.474867056141887)	('>500', 1.9903630599856237)	('>1k', 2.728877325341439)	('>5k', 1.7640542890153685)	('>10k+', 83.20485334464041)
062019-BEL-CBC-T2-25-PAST_S79_R2_16S	(1.0, 2.13542425893106)	(2.0, 0.43577999248126065)	(3.0, 0.2531820378852395)	(4.0, 0.18720126437575282)	(5.0, 0.13170580758676598)	(6.0, 0.13349598361221718)	(7.0, 0.12889267383248557)	(8.0, 0.10638760379824204)	(9.0, 0.07365295647570604)	('>10', 2.148978448838048)	('>50', 1.044695580566872)	('>100', 3.647867261005107)	('>500', 5.1659365305877145)	('>1k', 13.224030300007927)	('>5k', 1.984793733360953)	('>10k+', 69.19797556665465)
062019-BEL-CBC-T2-26-SSID_S44_R2_16S	(1.0, 2.5465375341142815)	(2.0, 0.7078044919302342)	(3.0, 0.39974450580515813)	(4.0, 0.25732788523543054)	(5.0, 0.2024699809601814)	(6.0, 0.15678052865294048)	(7.0, 0.14654242395533132)	(8.0, 0.12469094676491171)	(9.0, 0.10864615582089736)	('>10', 3.7408812104801523)	('>50', 3.579974878441608)	('>100', 5.112787239959781)	('>500', 0.9191373097928236)	('>1k', 4.270053696567025)	('>5k', 3.915081797872308)	('>10k+', 73.81153941364693)
062019-BEL-CBC-T3-12-PAST_S36_R2_16S	(1.0, 2.8873427044646074)	(2.0, 0.6631877517120336)	(3.0, 0.3676366884490621)	(4.0, 0.27517903875385896)	(5.0, 0.17629636594424333)	(6.0, 0.16642376945136572)	(7.0, 0.15137981289079028)	(8.0, 0.1429175873254666)	(9.0, 0.13821635090028678)	('>10', 4.508172315985771)	('>50', 3.990096061930955)	('>100', 7.605660288655916)	('>500', 2.0273298544183787)	('>1k', 5.896447432341372)	('>5k', 1.5365207716296052)	('>10k+', 69.46719320514629)
062019-BEL-CBC-T3-15-MCAV_S60_R2_16S	(1.0, 1.7486968870193802)	(2.0, 0.4318178995350609)	(3.0, 0.2499617035899262)	(4.0, 0.14987351834294538)	(5.0, 0.13041480187300497)	(6.0, 0.09439547564141312)	(7.0, 0.07462624773844173)	(8.0, 0.07535077441551398)	(9.0, 0.05589205794557355)	('>10', 2.040370626446466)	('>50', 2.284950131863855)	('>100', 5.890298380786381)	('>500', 0.37375226155827057)	('>1k', 4.554064180643131)	('>5k', 0.7390172106136947)	('>10k+', 81.10651784198694)
062019-BEL-CBC-T3-23-PAST_S26_R2_16S	(1.0, 1.0147999097757123)	(2.0, 0.21350103735598172)	(3.0, 0.113896996915848)	(4.0, 0.1018373148894641)	(5.0, 0.06141504735658469)	(6.0, 0.057618480792723095)	(7.0, 0.05315193189406239)	(8.0, 0.055385206343392744)	(9.0, 0.05828846312752221)	('>10', 1.393116601492274)	('>50', 0.46362777568098124)	('>100', 1.9967706851462683)	('>500', 0.9509282605248642)	('>1k', 3.7373847909543447)	('>5k', 5.1686903855301685)	('>10k+', 84.5595871122198)
062019-BEL-CBC-T3-28-SSID_S95_R2_16S	(1.0, 2.6247202458834877)	(2.0, 0.8932663518765326)	(3.0, 0.5942670989690771)	(4.0, 0.39682700630039935)	(5.0, 0.2575481899026508)	(6.0, 0.1883549281744741)	(7.0, 0.15217650527791274)	(8.0, 0.10123469007827031)	(9.0, 0.0795763068644096)	('>10', 1.2960960561463166)	('>50', 0.6236316484949858)	('>100', 1.9268660481724624)	('>500', 1.121936697494036)	('>1k', 3.3586717489509477)	('>5k', 2.5251890241478803)	('>10k+', 83.85963745326616)
062019-BEL-CBC-T3-31-PAST_S42_R2_16S	(1.0, 1.9431444628839858)	(2.0, 0.5388348821449714)	(3.0, 0.3018178263624911)	(4.0, 0.22537488344098683)	(5.0, 0.16804267624985858)	(6.0, 0.13245716833812385)	(7.0, 0.10379106474255972)	(8.0, 0.09138006969926951)	(9.0, 0.09884863308815212)	('>10', 3.2015973939107045)	('>50', 2.7720451672354125)	('>100', 7.432099226454531)	('>500', 1.2866797073641134)	('>1k', 4.95132803138554)	('>5k', 1.3669667637946015)	('>10k+', 75.3855920429047)
062019-BEL-CBC-T3-4-PAST_S22_R2_16S	(1.0, 1.9487754944436653)	(2.0, 0.4589433271184758)	(3.0, 0.34326187035166217)	(4.0, 0.2761224962608412)	(5.0, 0.22537395528139437)	(6.0, 0.20141812227246295)	(7.0, 0.1698972893659742)	(8.0, 0.13364833152351216)	(9.0, 0.1546096854063272)	('>10', 1.8316756001960595)	('>50', 0.8097701973676952)	('>100', 2.3457803849008907)	('>500', 1.358232689940599)	('>1k', 2.060989659590765)	('>5k', 4.417487127679862)	('>10k+', 83.26401376829982)
062019-BEL-CBC-T3-7-PAST_S58_R2_16S	(1.0, 2.230294598109819)	(2.0, 0.5711416471887515)	(3.0, 0.3272560433418012)	(4.0, 0.2441562870920634)	(5.0, 0.20571926628599582)	(6.0, 0.17377864336264381)	(7.0, 0.1743200098528701)	(8.0, 0.15049988428291272)	(9.0, 0.151041250773139)	('>10', 4.67591771770715)	('>50', 3.368517643810624)	('>100', 5.020768171981307)	('>500', 1.4079588994560621)	('>1k', 4.625435292493547)	('>5k', 2.77220245482635)	('>10k+', 73.90099218943497)
062019-BEL-CBC-T3-8-MCAV_S77_R2_16S	(1.0, 1.9741748566029043)	(2.0, 0.44356460385698165)	(3.0, 0.243648162682004)	(4.0, 0.1577465668646308)	(5.0, 0.14642317468870433)	(6.0, 0.121824081341002)	(7.0, 0.07926374523148527)	(8.0, 0.07184497104725758)	(9.0, 0.11596715435345382)	('>10', 2.4868511989129547)	('>50', 0.9609264877570702)	('>100', 4.240415138984877)	('>500', 6.017406787006993)	('>1k', 14.059748464508976)	('>5k', 2.3361329444333814)	('>10k+', 66.54406166172733)
062019-BEL-CBC-T3-9-MCAV_S80_R2_16S	(1.0, 1.3555400991895488)	(2.0, 0.2627918229103665)	(3.0, 0.1574029273013185)	(4.0, 0.12459175033264788)	(5.0, 0.09525825571549534)	(6.0, 0.07983549050441514)	(7.0, 0.06668077900084675)	(8.0, 0.05927180355630821)	(9.0, 0.051711624531268895)	('>10', 0.9371597919438732)	('>50', 0.6241683803072458)	('>100', 2.588605298173461)	('>500', 3.616033627676303)	('>1k', 3.162876496915447)	('>5k', 1.951584613523648)	('>10k+', 84.8664872384178)
062024-BEL-CBC-T1-1344-SSID_S39_R2_16S	(1.0, 4.156895002067935)	(2.0, 1.2659456237190936)	(3.0, 0.8200111368094658)	(4.0, 0.5734763712485473)	(5.0, 0.49965457406324876)	(6.0, 0.43461283413316576)	(7.0, 0.3849361943997098)	(8.0, 0.38632251922948063)	(9.0, 0.3358371900119917)	('>10', 7.708774743010034)	('>50', 5.055002437621159)	('>100', 10.558365430604045)	('>500', 2.9453626279173473)	('>1k', 8.575574342824268)	('>5k', 5.680119408778671)	('>10k+', 50.619109563561835)
062024-BEL-CBC-T2-1381-SSID_S30_R2_16S	(1.0, 2.8246070573540125)	(2.0, 0.6445300301863225)	(3.0, 0.3803476631622775)	(4.0, 0.3264286457791194)	(5.0, 0.252940564171958)	(6.0, 0.20485062974914126)	(7.0, 0.1952742791714375)	(8.0, 0.16654522743832623)	(9.0, 0.14989070469449362)	('>10', 3.9854272925991467)	('>50', 1.7961902779223482)	('>100', 5.745810346622254)	('>500', 2.8071198084729887)	('>1k', 8.592692828146143)	('>5k', 6.8037889039242225)	('>10k+', 65.12355574060581)
062024-BEL-CBC-T3-1430-PSTR_S62_R2_16S	(1.0, 1.9625050875050873)	(2.0, 0.5020731583231584)	(3.0, 0.2728174603174603)	(4.0, 0.19396113146113145)	(5.0, 0.15262515262515264)	(6.0, 0.10874542124542125)	(7.0, 0.09237001424501425)	(8.0, 0.09157509157509157)	(9.0, 0.08442078754578755)	('>10', 2.6563135938135938)	('>50', 3.3448756105006106)	('>100', 6.000712250712251)	('>500', 1.026563135938136)	('>1k', 2.3814293345543343)	('>5k', 2.1792010073260073)	('>10k+', 78.94981176231177)
062024-BEL-CBC-T4-1461-OFAV_S72_R2_16S	(1.0, 1.654114617985977)	(2.0, 0.35337330567027153)	(3.0, 0.24164498108334742)	(4.0, 0.179521198067785)	(5.0, 0.15275049309276442)	(6.0, 0.12755453546921566)	(7.0, 0.11464160718714692)	(8.0, 0.10078383049419509)	(9.0, 0.08291044805499018)	('>10', 1.4271147872713172)	('>50', 0.8642213464877228)	('>100', 3.1717773779669223)	('>500', 1.0039801739308452)	('>1k', 4.031510694502951)	('>5k', 2.1940954848056564)	('>10k+', 84.30000511792889)
