Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
052022-BEL-CBC-T2-12-MCAV_S18_R2_16S	(1.0, 3.893934216598385)	(2.0, 1.786022524315622)	(3.0, 1.2552356528141304)	(4.0, 0.9736817075361696)	(5.0, 0.7873294559852891)	(6.0, 0.6774203775658661)	(7.0, 0.6133948166596799)	(8.0, 0.5967499321875077)	(9.0, 0.578607888794558)	('>10', 12.313515646191405)	('>50', 8.109757601163908)	('>100', 9.113118282600196)	('>500', 3.2273462241652022)	('>1k', 55.625442542563356)	('>5k', 0.44844313085873516)	('>10k+', 0.0)
052022-BEL-CBC-T2-3-SSID_S25_R2_16S	(1.0, 6.974907456416162)	(2.0, 2.9288737640806453)	(3.0, 2.263356391107188)	(4.0, 1.9300169739285105)	(5.0, 1.8243239879938078)	(6.0, 1.736218845872415)	(7.0, 1.6202386305374745)	(8.0, 1.603480401998377)	(9.0, 1.4574681137369356)	('>10', 36.60461697492405)	('>50', 20.6416576376871)	('>100', 20.081335481483816)	('>500', 0.0)	('>1k', 0.3335053402335201)	('>5k', 0.0)	('>10k+', 0.0)
052022-BEL-CBC-T2-5-PAST_S40_R2_16S	(1.0, 7.477488183255704)	(2.0, 2.970366192757362)	(3.0, 2.407541078331741)	(4.0, 2.275248103539406)	(5.0, 2.280186813868903)	(6.0, 2.217196874038167)	(7.0, 2.2603750498084594)	(8.0, 2.2805543149297907)	(9.0, 2.246483016113804)	('>10', 43.73070735560151)	('>50', 16.13329107649492)	('>100', 13.430506354697828)	('>500', 0.0)	('>1k', 0.29005558656239444)	('>5k', 0.0)	('>10k+', 0.0)
052022-BEL-CBC-T3-1-MCAV_S83_R2_16S	(1.0, 2.227865484617468)	(2.0, 0.9167111492667102)	(3.0, 0.47803615524612214)	(4.0, 0.2906548525104818)	(5.0, 0.20353759426483328)	(6.0, 0.16180050781441807)	(7.0, 0.16686914829416488)	(8.0, 0.15491032466226223)	(9.0, 0.15716745362589948)	('>10', 1.5194041813116057)	('>50', 0.013819965058059692)	('>100', 0.34807304544511375)	('>500', 9.216174348560902)	('>1k', 83.7198435690832)	('>5k', 0.4251322202387647)	('>10k+', 0.0)
052022-BEL-CBC-T3-15-PSTR_S94_R2_16S	(1.0, 6.063465059242115)	(2.0, 3.1747642405609864)	(3.0, 2.1150341980724723)	(4.0, 1.5086876921482608)	(5.0, 1.235470137137725)	(6.0, 0.98837610971018)	(7.0, 0.8138234481329234)	(8.0, 0.7331859477011295)	(9.0, 0.5634909668727763)	('>10', 3.1293179384434695)	('>50', 0.042423745207088324)	('>100', 34.451211613527235)	('>500', 40.55699246951536)	('>1k', 4.623756433728281)	('>5k', 0.0)	('>10k+', 0.0)
062019-BEL-CBC-T1-5-SSID_S91_R2_16S	(1.0, 5.10814877407037)	(2.0, 2.2572981117350643)	(3.0, 1.440020307668763)	(4.0, 1.0546045292169208)	(5.0, 0.8170162141438805)	(6.0, 0.6578614556286526)	(7.0, 0.5147202149106448)	(8.0, 0.5026283749413153)	(9.0, 0.4080995989648683)	('>10', 10.684611242088012)	('>50', 5.851960335426959)	('>100', 27.93517328914332)	('>500', 36.45665240266399)	('>1k', 6.311205149397233)	('>5k', 0.0)	('>10k+', 0.0)
062019-BEL-CBC-T2-17-SSID_S4_R2_16S	(1.0, 2.770527790122958)	(2.0, 0.8654195790069088)	(3.0, 0.6500747444547695)	(4.0, 0.535466580474863)	(5.0, 0.503683352861164)	(6.0, 0.42664942830592706)	(7.0, 0.4091417181797369)	(8.0, 0.36846996080966427)	(9.0, 0.31998707122944525)	('>10', 4.321172208530295)	('>50', 2.0908246131469435)	('>100', 8.683824222590333)	('>500', 5.023635408670357)	('>1k', 22.72770123766043)	('>5k', 25.2133920514996)	('>10k+', 25.0900300324566)
062019-BEL-CBC-T2-21-PAST_S29_R2_16S	(1.0, 3.5091465777148243)	(2.0, 1.4013158961771972)	(3.0, 0.9755688791094724)	(4.0, 0.7586856896741255)	(5.0, 0.6181215951501783)	(6.0, 0.5281966167303711)	(7.0, 0.4844054949748336)	(8.0, 0.412321343936912)	(9.0, 0.3503289740442993)	('>10', 9.319579677315298)	('>50', 5.947753407327714)	('>100', 8.857069743218233)	('>500', 13.932514817798298)	('>1k', 52.90499128682824)	('>5k', 0.0)	('>10k+', 0.0)
062019-BEL-CBC-T2-23-MCAV_S64_R2_16S	(1.0, 2.0222229757988854)	(2.0, 0.9571930776447715)	(3.0, 0.7501102105869986)	(4.0, 0.5828161913481863)	(5.0, 0.43914680050188204)	(6.0, 0.38997592322560953)	(7.0, 0.31887596504911436)	(8.0, 0.28846914668746537)	(9.0, 0.25229746685204657)	('>10', 4.563057411238089)	('>50', 1.5039506256570248)	('>100', 2.2939627205624693)	('>500', 0.09517673256694587)	('>1k', 6.008681203160501)	('>5k', 54.393163552511105)	('>10k+', 25.140899996608905)
062019-BEL-CBC-T3-5-SSID_S37_R2_16S	(1.0, 10.051588581300647)	(2.0, 5.0449187422454544)	(3.0, 3.633631523169577)	(4.0, 2.719800613488246)	(5.0, 2.231989917712152)	(6.0, 1.838559744441607)	(7.0, 1.6146844549370036)	(8.0, 1.377959773292391)	(9.0, 1.1892459690702677)	('>10', 13.448519336474929)	('>50', 2.6145249484131416)	('>100', 37.599965637398626)	('>500', 16.189434370519226)	('>1k', 0.4451763875367389)	('>5k', 0.0)	('>10k+', 0.0)
062024-BEL-CBC-T1-1350-PSTR_S41_R2_16S	(1.0, 3.9614477027345094)	(2.0, 1.7904971121987725)	(3.0, 1.1315835531120055)	(4.0, 0.7010386428239497)	(5.0, 0.4942756959993241)	(6.0, 0.33386241151016616)	(7.0, 0.28896117612268174)	(8.0, 0.23850763743459447)	(9.0, 0.18576075607886683)	('>10', 3.4331339734575765)	('>50', 0.3013935074262057)	('>100', 39.24367972866135)	('>500', 43.31050049186165)	('>1k', 4.585357610578345)	('>5k', 0.0)	('>10k+', 0.0)
062024-BEL-CBC-T3-1424-PAST_S67_R2_16S	(1.0, 4.477937473314924)	(2.0, 2.0420113970884683)	(3.0, 1.5033529012873608)	(4.0, 1.0971449116930532)	(5.0, 0.8777159293544426)	(6.0, 0.7320468097537505)	(7.0, 0.661591600364305)	(8.0, 0.5562392516149841)	(9.0, 0.5389228680689853)	('>10', 10.45526226389904)	('>50', 5.654658437639209)	('>100', 21.69200895164499)	('>500', 4.370073588020764)	('>1k', 35.23778302703603)	('>5k', 10.103250589219693)	('>10k+', 0.0)
